county,fips,st,pct_report,total_votes,lead,state.name, None of these candidates,Alyson Kennedy,Bradford Lyttle,Chris Keniston,Dan Vacek,Darrell Castle,Donald Trump,Emidio Soltysik,Evan McMullin,Frank Atwood,Gary Johnson,Gloria La Riva,Hillary Clinton,Jerry White,Jill Stein,Jim Hedges,Joseph Maldonado,Kyle Kopitke,Laurence Kotlikoff,Lynn Kahn,Michael Maturen,Mike Smith,Monica Moorehead,Peter Skewes,Princess Jacob,Richard Duncan,Rocky De La Fuente,Rocky Giordani,Rod Silva,Ryan Scott,Scott Copeland,Tom Hoefling,
Autauga County,1001,AL,1,24759,Donald Trump,Alabama,NA,NA,NA,NA,NA,NA,0.733955329,NA,NA,NA,0.022052587,NA,0.239751202,NA,0.004240882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Baldwin County,1003,AL,1,94261,Donald Trump,Alabama,NA,NA,NA,NA,NA,NA,0.773204188,NA,NA,NA,0.026140185,NA,0.195817995,NA,0.004837632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Barbour County,1005,AL,1,10436,Donald Trump,Alabama,NA,NA,NA,NA,NA,NA,0.522614028,NA,NA,NA,0.00891146,NA,0.466749713,NA,0.001724799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Bibb County,1007,AL,1,8753,Donald Trump,Alabama,NA,NA,NA,NA,NA,NA,0.769793214,NA,NA,NA,0.014166571,NA,0.214098024,NA,0.001942191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Blount County,1009,AL,1,25442,Donald Trump,Alabama,NA,NA,NA,NA,NA,NA,0.898474963,NA,NA,NA,0.013285119,NA,0.084741766,NA,0.003498153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Bullock County,1011,AL,1,4702,Hillary Clinton,Alabama,NA,NA,NA,NA,NA,NA,0.242450021,NA,NA,NA,0.00467886,NA,0.750744364,NA,0.002126755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Butler County,1013,AL,1,8705,Donald Trump,Alabama,NA,NA,NA,NA,NA,NA,0.563009765,NA,NA,NA,0.007466973,NA,0.428029868,NA,0.001493395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Calhoun County,1015,AL,1,47485,Donald Trump,Alabama,NA,NA,NA,NA,NA,NA,0.692113299,NA,NA,NA,0.023502159,NA,0.278867011,NA,0.005517532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Chambers County,1017,AL,1,13839,Donald Trump,Alabama,NA,NA,NA,NA,NA,NA,0.5667317,NA,NA,NA,0.012139605,NA,0.417949274,NA,0.00317942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Cherokee County,1019,AL,1,10673,Donald Trump,Alabama,NA,NA,NA,NA,NA,NA,0.838845685,NA,NA,NA,0.013773072,NA,0.144945189,NA,0.002436054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Chilton County,1021,AL,1,18272,Donald Trump,Alabama,NA,NA,NA,NA,NA,NA,0.825361208,NA,NA,NA,0.012478109,NA,0.159314799,NA,0.002845884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Choctaw County,1023,AL,1,7273,Donald Trump,Alabama,NA,NA,NA,NA,NA,NA,0.564553829,NA,NA,NA,0.007149732,NA,0.42747147,NA,8.25E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Clarke County,1025,AL,1,13005,Donald Trump,Alabama,NA,NA,NA,NA,NA,NA,0.549019608,NA,NA,NA,0.007612457,NA,0.442060746,NA,0.00130719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Clay County,1027,AL,1,6591,Donald Trump,Alabama,NA,NA,NA,NA,NA,NA,0.795782127,NA,NA,NA,0.01411015,NA,0.18768017,NA,0.002427553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Cleburne County,1029,AL,1,6558,Donald Trump,Alabama,NA,NA,NA,NA,NA,NA,0.878926502,NA,NA,NA,0.013723696,NA,0.104300091,NA,0.00304971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Coffee County,1031,AL,1,20596,Donald Trump,Alabama,NA,NA,NA,NA,NA,NA,0.770780734,NA,NA,NA,0.019227034,NA,0.204942707,NA,0.005049524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
